national_party,ep_group,quantity_votes_party,quantity_votes_group,party_defection,party_cohesion,group_defection,group_cohesion
Greece-The Alternative Road,European Conservatives and Reformists Group,0,1873,,0.37292272305870056,,0.7366146508619245
Partidul Naţional Liberal,Group of the European People's Party (Christian Democrats),1908,1912,0.010772312069481881,0.013016354440214107,0.9659061192468619,0.927325512875378
Partido Democrático Republicano,Group of the Alliance of Liberals and Democrats for Europe,0,1947,,0.039274621331512084,,0.9277893835093053
Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1882,1882,0.01364517673504885,0.02659617405300667,0.9855301096751694,0.9537498906528935
Rassemblement national,Europe of Nations and Freedom Group,1943,1943,0.004420129535929844,0.005729138334937113,0.9798494480300964,0.6524149157490634
Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2005,2005,0.04271672010450066,0.05656700450482666,0.9628601116256976,0.951322794460276
Forza Italia,Group of the European People's Party (Christian Democrats),1690,1690,0.02901310228233305,0.03145268168518133,0.9216612874305181,0.9297260712755636
Kongres Nowej Prawicy,Europe of Nations and Freedom Group,1203,1728,0.0,0.2610831448434815,0.9674479166666666,0.6513061612612874
Komunistická strana Čech a Moravy,Confederal Group of the European United Left - Nordic Green Left,1264,1314,0.004746835443037975,0.10094282326258186,0.9657534246575342,0.7932817287690918
Forza Italia,Group of the European People's Party (Christian Democrats),1205,1205,0.01267733649476388,0.023587920092081417,0.9176090334285354,0.9275674290151928
Bloco de Esquerda,Confederal Group of the European United Left - Nordic Green Left,0,1881,,0.03728455343445422,,0.7863792430599704
Partido Popular,Group of the European People's Party (Christian Democrats),1885,1885,0.013508490846024004,0.0168083092109117,0.9804193238108435,0.9275181065701711
Delegación Ciudadanos Europeos,,0,0,,,,
Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1877,1877,0.07848358576248828,0.08899372133812344,0.9651178425552427,0.9551320194755228
Democratic Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,1665,,0.02980003023733328,,0.9561113076220017
Freiheitliche Partei Österreichs,Europe of Nations and Freedom Group,1878,1880,0.005857294994675187,0.2579708991369676,0.9619015957446808,0.6530647881264653
,Group of the Alliance of Liberals and Democrats for Europe,0,1772,,0.04017864288400455,,0.9260961131431737
Freie Demokratische Partei,Group of the Alliance of Liberals and Democrats for Europe,1704,1909,0.007629107981220657,0.061862203534012686,0.9734154007333683,0.9290464757657343
Front de Gauche,,1084,0,0.28136531365313655,,0.8003100338218715,
Rassemblement national,Europe of Nations and Freedom Group,1744,1744,0.007252108556581034,0.006283431396040988,0.979668016902822,0.657475913819204
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1932,1932,0.00703687650949708,0.014324575044002356,0.9729263196678747,0.9522437979014914
Partido Popular,Group of the European People's Party (Christian Democrats),1628,1628,0.059747478923615295,0.033253077232393354,0.9770573312184274,0.9229983768895228
Dansk Folkeparti,European Conservatives and Reformists Group,1483,1488,0.012137559002022926,0.1436241339850597,0.9813508064516129,0.7379618725120152
Lehet Más A Politika,Group of the Greens/European Free Alliance,0,1295,,0.014013085185319931,,0.9522882552828803
Partit Nazzjonalista,Group of the European People's Party (Christian Democrats),1891,1916,0.005288207297726071,0.04586645985457977,0.9872129436325678,0.9249044209874098
Mouvement Réformateur,Group of the Alliance of Liberals and Democrats for Europe,1866,1877,0.026259378349410504,0.014665960886670174,0.9690996270644646,0.9258708100358476
DIE LINKE.,Confederal Group of the European United Left - Nordic Green Left,1699,1699,0.013743378457916422,0.030931534789923956,0.9281846464306734,0.7856880889535985
Movement for Rights and Freedoms,Group of the Alliance of Liberals and Democrats for Europe,1783,1831,0.013740886146943354,0.017485388507548893,0.9823184052430366,0.927626489563943
Kresťanskodemokratické hnutie,Group of the European People's Party (Christian Democrats),1875,1882,0.013333333333333334,0.049349201170488646,0.9476620616365569,0.9267162510623231
Partido Popular,Group of the European People's Party (Christian Democrats),1867,1867,0.005482194113688489,0.014366670389428267,0.9796280631841772,0.9243565713332906
Democraten 66,Group of the Alliance of Liberals and Democrats for Europe,2017,2023,0.001487357461576599,0.0164094827497313,0.9943153732081068,0.9256040663176474
Socialistische Partij,Confederal Group of the European United Left - Nordic Green Left,1707,1837,0.0,0.17054448583202306,0.9959172563962984,0.7852602700804729
Partit Laburista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1817,1822,0.00550357732526142,0.021729169171524513,0.9813391877058177,0.9553433249171628
NEOS – Das Neue Österreich,Group of the Alliance of Liberals and Democrats for Europe,0,1899,,0.011338989033919911,,0.928255918190727
Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group,1790,1790,0.21876355488087337,0.17667532273927355,0.9640371430245732,0.4161227184780564
,Group of the European People's Party (Christian Democrats),0,1705,,0.03692465144096591,,0.9274984372700268
Demokratikus Koalíció,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1729,1849,0.0,0.011957922062065347,0.9870200108166577,0.9546209009088062
Debout la France,Europe of Freedom and Direct Democracy Group,0,1814,,0.14160379488924116,,0.4152817723903488
Partido Social Democrata,Group of the European People's Party (Christian Democrats),1275,1275,0.006843137254901961,0.010226808167923871,0.9726078431372548,0.92700869335253
,Non-attached Members,0,1786,,0.10962297513269946,,0.4163993241549285
Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1769,1769,0.003193453677921735,0.02125878408070389,0.986742232252204,0.9535039880766323
Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1741,1741,0.013019073594936547,0.018236338259085275,0.9855453797184868,0.9522416619406214
Les Républicains,Group of the European People's Party (Christian Democrats),1892,1892,0.03937764578620815,0.048232294712639866,0.9677394685124601,0.9254878449004251
Partito Democratico,,211,0,0.5220083688448178,,0.9752317744428276,
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1956,1956,0.015883517426998683,0.019513893510654197,0.9783698595203383,0.9527511126130587
Indépendant,Group of the European People's Party (Christian Democrats),1919,2003,0.0,0.013924411662222937,0.9853969046430354,0.9256691036251997
,Non-attached Members,0,1003,,0.16698481194561451,,0.43264255003526353
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1391,1391,0.0029176694902009813,0.007229555656008497,0.9791528278006533,0.9563154608749108
Freie Wähler,Group of the Alliance of Liberals and Democrats for Europe,1564,1861,0.0,0.04273990996405501,0.7678667383127351,0.9294911695937083
Partidul Naţional Liberal,Group of the European People's Party (Christian Democrats),1860,1860,0.00791090629800307,0.007097671643331121,0.9646399769585252,0.92662160727275
Les Républicains,Group of the European People's Party (Christian Democrats),1276,1276,0.010213747850895186,0.015675257586972843,0.9709085291667581,0.9311320677485305
,Group of the European People's Party (Christian Democrats),0,1435,,0.026318345745079984,,0.9344368873088532
MOST - HÍD,Group of the European People's Party (Christian Democrats),0,1901,,0.01641603006219777,,0.9264532716868834
Ciudadanos – Partido de la Ciudadanía,Group of the Alliance of Liberals and Democrats for Europe,1098,1613,0.0,0.021311965974694678,0.986050836949783,0.9318274797412884
Partidul Social Democrat,,1141,0,0.04999582655147949,,0.9723618090452262,
Bulgarian Socialist Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1810,1879,0.022099447513812154,0.05109031987076049,0.9530335284725918,0.9523666513134621
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1931,1932,0.009789818423157761,0.017743929910952715,0.9737003610870103,0.9545136257657892
Open Vlaamse Liberalen en Democraten,,78,0,0.15384615384615385,,0.9895268605224249,
Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1643,1643,0.007377981624786251,0.025167359408499696,0.9765802973654466,0.9522421208284875
Ulster Unionist Party,European Conservatives and Reformists Group,0,1758,,0.07285347686401217,,0.7386134051785466
ALDE Romania,Group of the Alliance of Liberals and Democrats for Europe,1368,1764,0.0,0.04467627874234506,0.9596088435374149,0.9271621674822574
Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian Democrats),1919,1921,0.016675351745700884,0.03218481920386901,0.9504554919312859,0.9248393561795835
TOP 09 a Starostové,Group of the European People's Party (Christian Democrats),1867,1919,0.012319228709159078,0.026951477101661302,0.9425482021886399,0.9248986755058052
Demokratikus Koalíció,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1729,1849,0.0,0.014308821613529678,0.9870200108166577,0.95317558898923
Volkspartij voor Vrijheid en Democratie,,1159,0,0.0060396893874029335,,0.9935762978500262,
Arbetarepartiet- Socialdemokraterna,,1268,0,0.007294952681388012,,0.9745115681233933,
Sinn Féin,Confederal Group of the European United Left - Nordic Green Left,1432,1449,0.002094972067039106,0.07015211988488675,0.9951690821256038,0.7818422232186623
Christen Democratisch Appèl,Group of the European People's Party (Christian Democrats),1874,1876,0.0080042689434365,0.028298758144503795,0.9837819829424306,0.9259547466500742
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1904,1904,0.019078505846434994,0.025763709214060758,0.9742092879417834,0.9538984957455549
United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,853,853,0.01553532022422099,0.08478512338172728,0.9620513389731891,0.4019348104525316
Freiheitliche Partei Österreichs,Europe of Nations and Freedom Group,1907,1915,0.0254326166754064,0.25988436218803235,0.9580287206266318,0.6517561031216356
United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,1650,1663,0.010764477352712647,0.09322613217706445,0.9499212551123077,0.3969597722209439
Platforma Obywatelska,Group of the European People's Party (Christian Democrats),1881,1881,0.01647928700595461,0.024664208814826838,0.9663265636386942,0.9268107318880553
L'union pour les Outremer,Confederal Group of the European United Left - Nordic Green Left,0,1852,,0.11125374838266247,,0.7822056576125171
Prawo i Sprawiedliwość,European Conservatives and Reformists Group,1949,1950,0.01613812047367717,0.05323196574130653,0.9545257819103973,0.7419315973676656
,Group of the European People's Party (Christian Democrats),0,1638,,0.14205022707947274,,0.9239686955491179
"Unión, Progreso y Democracia",Group of the Alliance of Liberals and Democrats for Europe,14,1709,0.0,0.027835517619780415,1.0,0.9229825412167243
Partija Tvarka ir teisingumas,Europe of Freedom and Direct Democracy Group,0,1627,,0.244147079337805,,0.4185915720561743
Articolo UNO – Movimento Democratico e Progressista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1921,1964,0.006246746486205101,0.011449589884561972,0.9834521384928717,0.9515769124179624
Articolo UNO – Movimento Democratico e Progressista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1704,1704,0.005868544600938967,0.010885537755221202,0.9892899061032864,0.9566762836152897
Movement for Social Democracy EDEK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,1623,,0.02438891491162075,,0.9559575741706645
Communist Party of Greece,Non-attached Members,1385,1705,0.0,0.15885756870592493,0.9995601173020527,0.4168047599143424
Coalition of the Radical Left,Confederal Group of the European United Left - Nordic Green Left,1634,1689,0.024326805385556916,0.06002993643107753,0.9516577856719952,0.7853390158227593
Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1850,1850,0.014377413127413129,0.008614386064058961,0.9659520592020593,0.9569719377340634
United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,1315,1315,0.012298875451693614,0.09616810532389791,0.9617365468349589,0.38891823804381775
Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1712,1712,0.012565364931019136,0.027712747325632715,0.9755865459501556,0.9500059391475498
Forza Italia,Group of the European People's Party (Christian Democrats),1226,1226,0.019852112949584402,0.014194902493602847,0.945641909069723,0.9352254952859963
Folkpartiet liberalerna,,0,0,,,,
Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats),1666,1667,0.0060474189675870345,0.021982701007287164,0.9750449910017996,0.9279420356843723
Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group,2026,2026,0.006219286636364623,0.13762183059758504,0.9653668148238732,0.418046202951656
Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1781,1781,0.007453009277826796,0.015037613074660169,0.9672468650570839,0.9544640002054638
Nova Slovenija – Krščanski demokrati,Group of the European People's Party (Christian Democrats),0,1727,,0.020880064038813425,,0.9259873873941138
Det Radikale Venstre,Group of the Alliance of Liberals and Democrats for Europe,1324,1811,0.0,0.007486024217649636,0.9855052457205964,0.926846007217741
,Group of the European People's Party (Christian Democrats),0,1985,,0.03826387835864345,,0.9253611627671776
Les Patriotes,Europe of Freedom and Direct Democracy Group,1374,1437,0.0,0.13006380119700478,0.9812108559498957,0.4196572489017422
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1535,1535,0.00966691931527993,0.009677299131027823,0.9770908444964195,0.9536401660086038
Socijaldemokratska partija Hrvatske,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1656,1793,0.0,0.008112124683240999,0.9933073061907418,0.9515211756826072
Prawo i Sprawiedliwość,European Conservatives and Reformists Group,1969,1969,0.016804219565773652,0.05626588215178543,0.9576324196372445,0.7416831130269782
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1889,1889,0.048823791235986125,0.05161480003152539,0.9456462776144399,0.9250593453051928
Kansallinen Kokoomus,Group of the European People's Party (Christian Democrats),1633,1666,0.03551745254133497,0.049830118626518295,0.9593337334933973,0.9273201100846391
Niezależny,European Conservatives and Reformists Group,0,1983,,0.07335497786948612,,0.7373766216697061
Partij van de Arbeid,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1744,1773,0.009174311926605505,0.020199249722006516,0.9915397631133672,0.9529831009257815
Bulgarian Socialist Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1738,1799,0.02991944764096663,0.05370244000556192,0.9506670372429127,0.950694909912586
Platforma Obywatelska,Group of the European People's Party (Christian Democrats),1997,1997,0.008818835207130886,0.015238075290581278,0.96520808757896,0.9248819838178366
Partito Democratico,,1207,0,0.0385346966360177,,0.9766824473724703,
Hrvatska demokratska zajednica,,730,0,0.057534246575342465,,0.9711641630901288,
Platforma Obywatelska,Group of the European People's Party (Christian Democrats),1709,1709,0.006961569004430327,0.016052845692631382,0.9697732483415116,0.9287172524215702
Česká strana sociálně demokratická,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1828,1849,0.015317286652078774,0.03906804138020092,0.9590319091400757,0.953089232217757
Česká strana sociálně demokratická,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1706,1706,0.01992966002344666,0.022286391740316817,0.9621922626025792,0.9561391984076931
Forza Italia,,1406,0,0.06489746325272641,,0.9184147520085021,
Starostové a nezávisli,Group of the European People's Party (Christian Democrats),0,1948,,0.03743679646362961,,0.9247746891957562
Les Républicains,Group of the European People's Party (Christian Democrats),1180,1180,0.008682694424219846,0.01541855236166853,0.9718471782454834,0.9332754702287402
Prawo i Sprawiedliwość,European Conservatives and Reformists Group,1611,1611,0.010795287890259957,0.05634344060762892,0.9642876521368142,0.7312092088237951
TOP 09 a Starostové,Group of the European People's Party (Christian Democrats),1741,1746,0.06260769672601953,0.06643666748207173,0.9390034364261168,0.932492592605722
Feministiskt initiativ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,1724,,0.10425563224052078,,0.9503231757772911
,Group of the European People's Party (Christian Democrats),0,2062,,0.015057321425850248,,0.924387368599075
Die blaue Partei,Europe of Nations and Freedom Group,0,1641,,0.2272091343553119,,0.6504019752780726
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1959,1959,0.00597464236899693,0.011666774557452787,0.9725200823032113,0.9521634577115458
Les Républicains,Group of the European People's Party (Christian Democrats),1852,1852,0.0034725129082580483,0.02081510250961348,0.9677497448555764,0.9247135927445392
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1421,1421,0.0076847234141747475,0.01135192195142888,0.9511237072983758,0.9241711503374744
Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats),1703,1703,0.017806811509101586,0.03156475759660442,0.9743981209630064,0.9277846398023635
Građansko-liberalni savez,Group of the Alliance of Liberals and Democrats for Europe,0,1785,,0.006525999483114845,,0.9241671362111373
Partido Social Democrata,Group of the European People's Party (Christian Democrats),1612,1612,0.014267990074441687,0.014082188752113818,0.9749379652605459,0.9271469004137521
Komunistická strana Čech a Moravy,,656,0,0.027439024390243903,,0.9580031695721077,
,European Conservatives and Reformists Group,0,1534,,0.2944714211152792,,0.7336046768669181
Piratenpartei Deutschland,Group of the Greens/European Free Alliance,0,2006,,0.00661380457822704,,0.9586196610884575
Parti chrétien social luxembourgeois,,1214,0,0.01400329489291598,,0.9696969696969697,
Sozialdemokratische Partei Österreichs,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1985,1991,0.005478589420654912,0.020352009526628374,0.9865896534404821,0.9509631421174912
Suomen Keskusta,,169,0,0.20710059171597633,,0.9525641025641025,
United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,1624,1624,0.011460486352727733,0.09647993825528887,0.953491961047742,0.394837142783884
Die Grünen - Die Grüne Alternative,Group of the Greens/European Free Alliance,1909,1933,0.005238344683080147,0.0042423549107305425,0.9908173823072943,0.9589440936858667
Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,1921,1921,0.008414826107434126,0.005914280317595207,0.9775269802208896,0.9587826039934959
Christlich Demokratische Union Deutschlands,,1347,0,0.16123312657957628,,0.9459448590636966,
Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1961,1961,0.0038898399747456353,0.01987303635326846,0.9634610014326995,0.9504883815317602
Partido Social Democrata,Group of the European People's Party (Christian Democrats),1989,1991,0.01191553544494721,0.01715030640655864,0.9712958312405826,0.9241839212183531
Mouvement Réformateur,Group of the Alliance of Liberals and Democrats for Europe,1892,1907,0.013213530655391121,0.030160822156488614,0.9687991609858416,0.9267104268945995
Mouvement Radical Social-Libéral,Group of the Alliance of Liberals and Democrats for Europe,0,1973,,0.0423663619727581,,0.9258391617891217
Europe Écologie,Group of the Greens/European Free Alliance,1757,1757,0.013645418326693227,0.01969220446539433,0.9697922595332955,0.9589511192747278
Mouvement Démocrate,Group of the Alliance of Liberals and Democrats for Europe,1632,1711,0.0027573529411764708,0.03356765121915956,0.9831969608416131,0.9210152525457967
Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1940,1940,0.0036266568483063325,0.00727076669536974,0.978483063328424,0.9511953214890162
Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1538,1538,0.003576072821846554,0.00336553711131226,0.9817480958573286,0.9534864883647327
Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1773,1773,0.006930130407287767,0.018174865687989736,0.9804381673036495,0.9519541005133612
PODEMOS,,413,0,0.024515738498789345,,0.9915128703254007,
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1893,1893,0.010948938839258269,0.019831279531457247,0.9739848199439632,0.9526107827330182
Det Radikale Venstre,Group of the Alliance of Liberals and Democrats for Europe,1324,1454,0.0,0.023765777464722852,0.9819463548830811,0.9324181344074771
Centre Démocrate Humaniste,Group of the European People's Party (Christian Democrats),0,2048,,0.08156477885735505,,0.9244864762101813
Lietuvos valstiečių ir žaliųjų sąjunga,Group of the Greens/European Free Alliance,0,1951,,0.025495889892269693,,0.9588701071688511
Platforma Obywatelska,Group of the European People's Party (Christian Democrats),1897,1897,0.00842878167446371,0.015819724211955776,0.9653413906010886,0.9255166110685054
Les radicaux de Gauche,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,1816,,0.023714903234389337,,0.95243591333135
Partido Social Democrata,Group of the European People's Party (Christian Democrats),1868,1869,0.008056745182012848,0.01210871572730184,0.9745050829320492,0.9252461798485024
Österreichische Volkspartei,Group of the European People's Party (Christian Democrats),1996,1998,0.014904809619238476,0.029493152781915354,0.9830830830830831,0.9259871088154403
Agir - La Droite constructive,Group of the European People's Party (Christian Democrats),0,1962,,0.032727785987853995,,0.9246231826428912
,Confederal Group of the European United Left - Nordic Green Left,0,1673,,0.054343367058461746,,0.7865591479891766
Forza Italia,Group of the European People's Party (Christian Democrats),1946,1968,0.0283891254343464,0.03976316890286356,0.932937937739767,0.9232597043310088
Lega Nord,,1308,0,0.018214831804281347,,0.9247148288973385,
PODEMOS,Confederal Group of the European United Left - Nordic Green Left,1865,1886,0.004557640750670241,0.03570479949579334,0.9909994697773065,0.7899381437466018
Les Républicains,Group of the European People's Party (Christian Democrats),2061,2061,0.006368029512134316,0.020116101448224285,0.9679162298157931,0.9244535186647317
Partit Laburista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1910,1917,0.02198952879581152,0.03861192195165024,0.9799165362545644,0.9533309229239608
,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,1625,,0.01456615924163559,,0.9513264291532832
GroenLinks,Group of the Greens/European Free Alliance,1729,1925,0.0,0.010386524513989557,0.9945454545454545,0.9575712460293445
Kansallinen Kokoomus,Group of the European People's Party (Christian Democrats),1696,1760,0.010023584905660377,0.011806405841631215,0.967471590909091,0.9334620409377121
Bezpartyjny,Non-attached Members,1426,1525,0.0,0.211350873571944,0.838688524590164,0.419922169191684
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1666,1666,0.006863126545188359,0.0039185407586479135,0.9778338424138673,0.9513598590780413
Tėvynės sąjunga-Lietuvos krikščionys demokratai,Group of the European People's Party (Christian Democrats),1510,1718,0.0,0.018750973207670215,0.9742433061699651,0.9222999559986957
Democraten 66,Group of the Alliance of Liberals and Democrats for Europe,1908,1913,0.0005241090146750524,0.015899251780067774,0.9952953476215368,0.929226715206136
Rassemblement bleu Marine,Europe of Nations and Freedom Group,0,1900,,0.01846482260951448,,0.6523986525038799
Socialdemokratiet,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2013,2043,0.005961251862891207,0.04907053913420961,0.9911894273127754,0.9491222708406343
,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,1937,,0.03671769320473839,,0.9517423840949911
Österreichische Volkspartei,Group of the European People's Party (Christian Democrats),2012,2013,0.00720675944333996,0.023891121663522072,0.9828365623447591,0.9248081082257479
DIE LINKE.,Confederal Group of the European United Left - Nordic Green Left,1920,1924,0.020872395833333335,0.03383150975027529,0.931840288090288,0.7885024758134821
Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Group of the European People's Party (Christian Democrats),1791,1791,0.010585001728217809,0.06115326733165832,0.985511280548969,0.9275148011807409
Christen Democratisch Appèl,Group of the European People's Party (Christian Democrats),1849,1850,0.012303948080043267,0.03212501104787712,0.9829459459459459,0.9279959258074527
Sozialdemokratische Partei Deutschlands,,132,0,0.619087967421659,,0.9703797623316758,
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1883,1883,0.02074748198517223,0.02580951914101658,0.9469825077751469,0.9238027524899708
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1723,1723,0.008116072938228578,0.015430786043003696,0.9720220527847847,0.95311962635658
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1916,1916,0.011828078266466847,0.014502078773362239,0.9458452748142895,0.9242883681472293
Green Party,Group of the Greens/European Free Alliance,1862,1902,0.011278195488721804,0.015933018551769998,0.9884332281808622,0.9572010757890829
COMPROMIS,,0,0,,,,
Česká strana sociálně demokratická,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1879,1901,0.012240553485896753,0.0276646233345672,0.9633087848500789,0.956307751087134
Alternativa galega de esquerda en Europa,Confederal Group of the European United Left - Nordic Green Left,0,1899,,0.15377445084609434,,0.7898543193539037
Conservatori e Riformisti,European Conservatives and Reformists Group,1481,1805,0.0,0.10383251933285889,0.9713296398891966,0.73457753489976
Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1959,1959,0.011877415591044993,0.013901036280629619,0.9789524538758841,0.9521324387161725
United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,1520,1520,0.01083830022853823,0.1104584432683637,0.9608061600261193,0.4065244162353308
Polskie Stronnictwo Ludowe,Group of the European People's Party (Christian Democrats),1656,1685,0.009057971014492754,0.025845273001344444,0.9742581602373888,0.928187103574923
Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1994,1994,0.008647370683479007,0.011102164630474505,0.9795278693222526,0.9525443889049826
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1788,1788,0.009104526120473397,0.012430730126189397,0.97089904326531,0.9496483843397415
Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1814,1814,0.008396057024330071,0.024913928403828577,0.9853217017515977,0.9528928278885076
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1793,1793,0.007556994172688182,0.016802805144658272,0.9758588616568764,0.9543373927016081
OBYČAJNÍ ĽUDIA,European Conservatives and Reformists Group,0,1903,,0.06864927546909655,,0.7379870116150552
,Group of the Greens/European Free Alliance,0,1890,,0.025889715807248664,,0.9585865722906501
Scottish National Party,Group of the Greens/European Free Alliance,1319,1547,0.0,0.02535891156778518,1.0,0.958515770393266
SMER-Sociálna demokracia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1884,1895,0.007696390658174098,0.018625816032354445,0.9727572559366755,0.9534709669509649
Uniunea Democrată Maghiară din România,Group of the European People's Party (Christian Democrats),1668,1946,0.0,0.03520563363662165,0.9776464542651593,0.9247143150530708
Křesťanská a demokratická unie - Československá strana lidová,Group of the European People's Party (Christian Democrats),2026,2042,0.017275419545903257,0.041869811868692444,0.9570274240940254,0.9243570438226527
Lista dr. Igorja Šoltesa,Group of the Greens/European Free Alliance,0,1862,,0.02188779791115136,,0.9593277539936688
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1785,1785,0.02713485585906408,0.03102655691725944,0.9471652050093081,0.9260734828196034
Die PARTEI,Non-attached Members,0,1338,,0.2009922485718693,,0.42588263139690336
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,678,678,0.011928705512776309,0.008511536691467193,0.9814052019894853,0.962141754423318
"Unión, Progreso y Democracia",,14,0,0.0,,1.0,
,Confederal Group of the European United Left - Nordic Green Left,0,2035,,0.027053173361655313,,0.7873018596357964
Nea Demokratia,Group of the European People's Party (Christian Democrats),1311,1452,0.012109077040427154,0.02697508739708528,0.9815254820936639,0.934132906088849
Groen,Group of the Greens/European Free Alliance,0,2007,,0.012598712269957471,,0.9575944799516409
Bulgarian Socialist Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1292,1294,0.00696594427244582,0.017893390031022013,0.9563369397217929,0.9550741298607286
Liberal-Conservative Refomists,European Conservatives and Reformists Group,1863,1864,0.025161030595813205,0.04660513486856231,0.9529908798283262,0.7388692308625843
Kresťanskodemokratické hnutie,Group of the European People's Party (Christian Democrats),1965,1975,0.03409669211195929,0.03417113443993403,0.9451898734177215,0.9256371563137539
Sozialdemokratische Partei Deutschlands,,1209,0,0.0492532330267067,,0.9720529511492824,
TOP 09 a Starostové,Group of the European People's Party (Christian Democrats),1829,1862,0.021323127392017496,0.02857486518961231,0.9407894736842105,0.9266517722998296
Nieuw-Vlaamse Alliantie,European Conservatives and Reformists Group,1965,1986,0.0055979643765903305,0.10408041919086228,0.9902442094662638,0.7381201175430704
Hrvatska demokratska zajednica,,795,0,0.05408805031446541,,0.9711289487312273,
